Age,EstimatedSalary,Gender_Male,Actual,Predicted
30,87000,1,0,0
38,50000,0,0,0
35,75000,1,0,0
30,79000,0,0,0
35,50000,0,0,0
27,20000,1,0,0
31,15000,0,0,0
36,144000,1,1,1
18,68000,0,0,0
47,43000,1,0,1
30,49000,1,0,0
28,55000,0,0,0
37,55000,1,0,0
39,77000,1,0,0
20,86000,1,0,0
32,117000,0,0,1
37,77000,1,0,0
19,85000,1,0,0
55,130000,0,1,1
35,22000,1,0,0
35,47000,0,0,0
47,144000,0,1,1
41,51000,0,0,0
47,105000,1,1,1
23,28000,0,0,0
49,141000,0,1,1
28,87000,0,0,0
29,80000,1,0,0
37,62000,0,0,0
32,86000,0,0,0
21,88000,1,0,0
37,79000,1,1,0
57,60000,1,1,1
37,53000,1,0,0
24,58000,1,0,0
18,52000,1,0,0
22,81000,1,0,0
34,43000,0,0,0
31,34000,0,0,0
49,36000,0,1,1
27,88000,1,0,0
41,52000,1,0,0
27,84000,0,0,0
35,20000,1,0,0
43,112000,0,1,1
27,58000,0,0,0
37,80000,0,0,0
52,90000,0,1,1
26,30000,1,0,0
49,86000,1,1,1
57,122000,0,1,1
34,25000,0,0,0
35,57000,0,0,0
34,115000,1,0,1
59,88000,0,1,1
45,32000,1,1,1
29,83000,0,0,0
26,80000,0,0,0
49,28000,1,1,1
23,20000,1,0,0
32,18000,1,0,0
60,42000,1,1,1
19,76000,1,0,0
36,99000,1,1,1
19,26000,0,0,0
60,83000,1,1,1
24,89000,0,0,0
27,58000,1,0,0
40,47000,1,0,0
42,70000,0,0,0
32,150000,0,1,1
35,77000,0,0,0
22,63000,0,0,0
45,22000,1,1,1
27,89000,1,0,0
18,82000,1,0,0
42,79000,0,0,0
40,60000,0,0,0
53,34000,0,1,1
47,107000,0,1,1
58,144000,1,1,1
59,83000,0,0,1
24,55000,0,0,0
26,35000,0,0,0
58,38000,0,1,1
42,80000,0,1,0
40,75000,0,0,0
59,130000,1,1,1
46,41000,0,1,1
41,60000,0,0,0
42,64000,1,0,0
37,146000,0,1,1
23,48000,0,0,0
25,33000,1,0,0
24,84000,1,0,0
27,96000,0,1,0
23,63000,1,0,0
48,33000,1,1,1
48,90000,1,1,1
42,104000,1,1,1
44,39000,0,0,1
32,120000,1,1,1
38,50000,0,0,0
32,135000,0,1,1
52,21000,0,1,1
53,104000,0,1,1
39,42000,1,0,0
38,61000,1,0,0
36,50000,0,0,0
36,63000,0,0,0
35,25000,0,0,0
35,50000,1,0,0
42,73000,1,1,0
47,49000,0,1,1
59,29000,0,1,1
49,65000,1,0,1
45,131000,0,1,1
31,89000,0,0,0
46,82000,0,0,0
47,51000,0,1,1
26,15000,1,0,0
60,102000,1,1,1
38,112000,0,0,1
40,107000,1,1,1
42,53000,0,0,0
35,59000,1,0,0
48,41000,1,1,1
48,134000,0,1,1
38,113000,0,1,1
29,148000,1,1,1
26,15000,0,0,0
60,42000,1,1,1
24,19000,1,0,0
42,149000,1,1,1
